,turns,winner
3216,14,Black
3220,40,Black
3221,40,Black
3222,54,Black
3225,16,Black
3226,66,Black
3228,108,Black
3229,25,Black
3232,58,Black
3233,64,Black
3234,60,Black
3236,58,Black
3240,22,Black
3247,16,Black
3249,78,Black
3256,46,Black
3259,28,Black
3262,26,Black
3264,10,Black
3265,58,Black
3266,52,Black
3267,84,Black
3269,40,Black
3270,64,Black
3271,66,Black
3273,68,Black
3275,56,Black
3277,68,Black
3278,92,Black
3279,126,Black
3280,56,Black
3281,102,Black
3282,114,Black
3283,36,Black
3285,112,Black
3286,99,Black
3287,54,Black
3288,74,Black
3293,40,Black
3295,126,Black
3296,62,Black
3298,92,Black
3303,62,Black
3304,62,Black
3305,38,Black
3307,68,Black
3309,52,Black
3319,62,Black
3320,38,Black
3322,26,Black
3323,49,Black
3324,74,Black
3325,60,Black
3326,118,Black
3327,94,Black
3328,118,Black
3329,52,Black
3330,116,Black
3337,64,Black
3345,21,Black
3347,102,Black
3348,78,Black
3353,108,Black
3356,100,Black
3358,36,Black
3360,40,Black
3361,98,Black
3365,34,Black
3370,45,Black
3371,46,Black
3380,64,Black
3381,76,Black
3382,76,Black
3388,96,Black
3390,102,Black
3392,46,Black
3394,134,Black
3395,72,Black
3402,18,Black
3403,109,Black
3404,84,Black
3405,76,Black
3408,13,Black
3409,66,Black
3411,76,Black
3412,70,Black
3415,8,Black
3416,60,Black
3417,54,Black
3420,64,Black
3423,102,Black
3427,50,Black
3428,66,Black
3430,36,Black
3436,42,Black
3437,16,Black
3438,58,Black
3440,16,Black
3442,10,Black
3443,6,Black
3445,74,Black
3448,70,Black
3454,60,Black
3455,72,Black
3458,44,Black
3459,72,Black
3466,18,Black
3469,64,Black
3471,25,Black
3474,30,Black
3476,66,Black
3477,38,Black
3478,18,Black
3480,58,Black
3481,31,Black
3483,44,Black
3485,40,Black
3486,28,Black
3487,56,Black
3490,40,Black
3491,50,Black
3492,40,Black
3493,90,Black
3494,42,Black
3496,48,Black
3499,50,Black
3500,44,Black
3501,52,Black
3502,40,Black
3505,138,Black
3506,23,Black
3507,48,Black
3508,128,Black
3509,16,Black
3510,34,Black
3512,28,Black
3514,46,Black
3516,52,Black
3520,40,Black
3522,4,Black
3523,36,Black
3525,46,Black
3527,24,Black
3530,62,Black
3535,38,Black
3537,52,Black
3539,138,Black
3540,28,Black
3542,80,Black
3545,60,Black
3547,112,Black
3550,114,Black
3552,114,Black
3553,68,Black
3555,46,Black
3558,30,Black
3559,106,Black
3563,48,Black
3565,32,Black
3566,29,Black
3567,62,Black
3568,24,Black
3569,80,Black
3574,31,Black
3576,54,Black
3581,96,Black
3582,60,Black
3583,90,Black
3584,98,Black
3589,92,Black
3590,16,Black
3600,67,Black
3602,46,Black
3603,64,Black
3604,74,Black
3608,114,Black
3617,54,Black
3619,32,Black
3621,44,Black
3627,10,Black
3628,85,Black
3629,56,Black
3631,48,Black
3632,56,Black
3633,88,Black
3634,84,Black
3636,76,Black
3639,66,Black
3641,22,Black
3642,36,Black
3643,42,Black
3644,96,Black
3645,64,Black
3651,60,Black
3653,44,Black
3655,132,Black
3657,12,Black
3658,64,Black
3659,48,Black
3660,36,Black
3661,28,Black
3662,30,Black
3663,46,Black
3665,92,Black
3666,90,Black
3672,12,Black
3673,56,Black
3675,30,Black
3677,138,Black
3678,30,Black
3680,68,Black
3683,18,Black
3684,30,Black
3688,22,Black
3692,58,Black
3694,48,Black
3695,88,Black
3697,70,Black
3698,12,Black
3700,68,Black
3701,62,Black
3702,41,Black
3705,106,Black
3706,29,Black
3708,18,Black
3710,138,Black
3711,61,Black
3714,32,Black
3715,60,Black
3716,118,Black
3719,14,Black
3721,74,Black
3722,8,Black
3724,122,Black
3725,120,Black
3727,56,Black
3730,59,Black
3732,78,Black
3733,67,Black
3734,74,Black
3739,56,Black
3742,44,Black
3743,42,Black
3745,20,Black
3747,50,Black
3752,74,Black
3755,52,Black
3760,44,Black
3762,22,Black
3763,68,Black
3766,25,Black
3767,62,Black
3769,16,Black
3771,94,Black
3772,22,Black
3776,69,Black
3785,99,Black
3787,76,Black
3792,54,Black
3797,28,Black
3799,28,Black
3806,32,Black
3807,20,Black
3808,28,Black
3809,52,Black
3812,62,Black
3814,32,Black
3818,40,Black
3820,36,Black
3822,72,Black
3823,64,Black
3825,48,Black
3829,56,Black
3830,39,Black
3832,122,Black
3834,44,Black
3836,18,Black
3842,70,Black
3846,44,Black
3847,39,Black
3851,16,Black
3852,52,Black
3853,55,Black
3854,26,Black
3855,36,Black
3856,50,Black
3857,26,Black
3861,64,Black
3862,94,Black
3863,46,Black
3864,24,Black
3866,88,Black
3867,78,Black
3871,70,Black
3872,30,Black
3876,80,Black
3877,66,Black
3880,52,Black
3883,40,Black
3884,8,Black
3886,120,Black
3887,73,Black
3889,66,Black
3891,30,Black
3893,70,Black
3895,80,Black
3899,30,Black
3902,2,Black
3904,56,Black
3905,42,Black
3907,132,Black
3910,130,Black
3912,56,Black
3917,116,Black
3922,74,Black
3925,114,Black
3928,76,Black
